molecule_index,chemical_description,canonical_smiles,doi
41,5′-Hydrazino-guanosine,NNC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,https://doi.org/10.1039/c8fd00038g
42,5′-Amino-guanosine (NH₂G),NC[C@H]1O[C@@H](n2cnc3c(=O)[nH]c(N)nc32)[C@H](O)[C@@H]1O,https://doi.org/10.1039/c8fd00038g
43,5′-Hydroxylamino-guanosine (NHOH-G),Nc1nc2c(ncn2[C@@H]2O[C@H](CNO)[C@@H](O)[C@H]2O)c(=O)[nH]1,https://doi.org/10.1039/c8fd00038g
44,Guanosine-5′-monophosphate (GMP),Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1,https://doi.org/10.1039/c8fd00038g
45,A 9-octyl-9H-carbazole group attached to the 5-position of uridine,CCCCCCCCn1c2ccccc2c2cc(-c3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c(=O)[nH]c3=O)ccc21,https://doi.org/10.1002/ejoc.201701728
46,A 9-dodecyl-9H-carbazole group attached to the 5-position of uridine,CCCCCCCCCCCCn1c2ccccc2c2cc(-c3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c(=O)[nH]c3=O)ccc21,https://doi.org/10.1002/ejoc.201701728
47,A 9-hexadecyl-9H-carbazole group attached to the 5-position of uridine,CCCCCCCCCCCCCCCCn1c2ccccc2c2cc(-c3cn([C@@H]4O[C@H](CO)[C@@H](O)[C@H]4O)c(=O)[nH]c3=O)ccc21,https://doi.org/10.1002/ejoc.201701728
48,Cytidine (C),Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,https://doi.org/10.1021/acsami.9b02265
49,Arabino-cytidine (arabinoC),Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,https://doi.org/10.1021/acsami.9b02265
50,"2′,3′-Dideoxy-cytidine (ddC)",Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,https://doi.org/10.1021/acsami.9b02265
51,Inosine,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,https://doi.org/10.1021/ja507506c
52,5′-Deoxy-5′-Iodoguanosine,Nc1nc2c(ncn2[C@@H]2O[C@H](CI)[C@@H](O)[C@H]2O)c(=O)[nH]1,https://doi.org/10.1039/C6CC01494A
